borough,animal_recovered,year_and_month
ealing,not recovered,oct-2012
kensington and chelsea,not recovered,oct-2012
kingston upon thames,not recovered,oct-2012
islington,not recovered,oct-2012
redbridge,not recovered,oct-2012
hackney,not recovered,oct-2012
haringey,not recovered,nov-2012
lewisham,not recovered,nov-2012
ealing,not recovered,nov-2012
redbridge,not recovered,nov-2012
croydon,not recovered,nov-2012
haringey,recovered,nov-2012
newham,not recovered,nov-2012
westminster,not recovered,nov-2012
barking and dagenham,not recovered,nov-2012
enfield,not recovered,nov-2012
lambeth,not recovered,nov-2012
croydon,not recovered,nov-2012
ealing,not recovered,nov-2012
ealing,not recovered,nov-2012
hounslow,recovered,dec-2012
kingston upon thames,not recovered,dec-2012
hackney,not recovered,dec-2012
kensington and chelsea,not recovered,dec-2012
barnet,not recovered,dec-2012
bexley,not recovered,dec-2012
haringey,not recovered,dec-2012
barnet,not recovered,dec-2012
greenwich,not recovered,dec-2012
merton,not recovered,dec-2012
hillingdon,not recovered,dec-2012
wandsworth,not recovered,dec-2012
lambeth,not recovered,dec-2012
redbridge,not recovered,dec-2012
enfield,not recovered,dec-2012
brent,not recovered,dec-2012
ealing,not recovered,dec-2012
barking and dagenham,not recovered,dec-2012
haringey,not recovered,dec-2012
islington,not recovered,dec-2012
westminster,not recovered,jan-2013
lewisham,not recovered,jan-2013
redbridge,not recovered,jan-2013
redbridge,not recovered,jan-2013
bromley,not recovered,jan-2013
wandsworth,not recovered,jan-2013
bexley,not recovered,jan-2013
hillingdon,not recovered,jan-2013
waltham forest,not recovered,jan-2013
ealing,not recovered,jan-2013
barnet,not recovered,jan-2013
greenwich,not recovered,jan-2013
waltham forest,not recovered,jan-2013
harrow,not recovered,jan-2013
camden,not recovered,feb-2013
hillingdon,not recovered,feb-2013
haringey,not recovered,feb-2013
barking and dagenham,recovered,feb-2013
barnet,not recovered,feb-2013
greenwich,recovered,feb-2013
lambeth,not recovered,feb-2013
greenwich,recovered,feb-2013
greenwich,recovered,feb-2013
sutton,not recovered,feb-2013
islington,not recovered,feb-2013
westminster,not recovered,mar-2013
merton,not recovered,mar-2013
richmond upon thames,recovered,mar-2013
lambeth,not recovered,mar-2013
lewisham,not recovered,mar-2013
enfield,not recovered,mar-2013
wandsworth,not recovered,mar-2013
croydon,not recovered,mar-2013
wandsworth,not recovered,mar-2013
merton,recovered,mar-2013
tower hamlets,not recovered,mar-2013
harrow,not recovered,mar-2013
harrow,not recovered,mar-2013
havering,not recovered,mar-2013
southwark,not recovered,mar-2013
tower hamlets,not recovered,mar-2013
barking and dagenham,not recovered,mar-2013
enfield,not recovered,mar-2013
kensington and chelsea,not recovered,mar-2013
kensington and chelsea,not recovered,mar-2013
kensington and chelsea,recovered,mar-2013
haringey,not recovered,mar-2013
greenwich,recovered,apr-2013
haringey,not recovered,apr-2013
greenwich,not recovered,apr-2013
southwark,not recovered,apr-2013
barnet,not recovered,apr-2013
haringey,not recovered,apr-2013
barnet,not recovered,apr-2013
hillingdon,not recovered,apr-2013
camden,not recovered,apr-2013
greenwich,not recovered,apr-2013
southwark,not recovered,apr-2013
hammersmith and fulham,not recovered,apr-2013
westminster,not recovered,apr-2013
hammersmith and fulham,not recovered,may-2013
kingston upon thames,not recovered,may-2013
sutton,recovered,may-2013
kensington and chelsea,not recovered,may-2013
ealing,not recovered,may-2013
tower hamlets,not recovered,may-2013
hammersmith and fulham,not recovered,may-2013
southwark,not recovered,may-2013
redbridge,recovered,jun-2013
kingston upon thames,not recovered,jun-2013
camden,recovered,jun-2013
bromley,not recovered,jun-2013
enfield,recovered,jun-2013
kingston upon thames,not recovered,jun-2013
tower hamlets,not recovered,jun-2013
hammersmith and fulham,not recovered,jun-2013
ealing,recovered,jun-2013
merton,not recovered,jun-2013
ealing,recovered,jun-2013
barking and dagenham,not recovered,jun-2013
lewisham,not recovered,jun-2013
greenwich,not recovered,jun-2013
camden,not recovered,jun-2013
enfield,not recovered,jun-2013
lambeth,not recovered,jul-2013
enfield,not recovered,jul-2013
islington,not recovered,jul-2013
bromley,recovered,jul-2013
barking and dagenham,not recovered,jul-2013
enfield,not recovered,jul-2013
bexley,not recovered,jul-2013
camden,not recovered,jul-2013
greenwich,not recovered,jul-2013
waltham forest,recovered,jul-2013
wandsworth,not recovered,jul-2013
croydon,not recovered,jul-2013
kingston upon thames,not recovered,jul-2013
hounslow,not recovered,jul-2013
waltham forest,not recovered,jul-2013
greenwich,not recovered,jul-2013
camden,not recovered,jul-2013
croydon,not recovered,jul-2013
islington,not recovered,jul-2013
bromley,recovered,jul-2013
lambeth,not recovered,aug-2013
haringey,not recovered,aug-2013
enfield,not recovered,aug-2013
hounslow,not recovered,aug-2013
hounslow,not recovered,aug-2013
lewisham,not recovered,aug-2013
hackney,not recovered,aug-2013
wandsworth,not recovered,aug-2013
